abbr,name
AA,ABN AMRO
AALB,Aalberts Industries N.V.
AB,Amsterdamsche Bank
ABR,Antilliaanse Brouwerij N.V.
AC,Apothekers Cooperatie OPG U.A.
ACCELL,Accell Group N.V.
ACF,ACF (Amsterdam Chemie Farmacie N.V. )
ADM,Amsterdamsche Droogdok-Maatschappij
AH,Albert Heijn N.V.
AHMOG,Algemeene Handel Maatschappij van Onroerende Goederen
AHREND,Ahrend Groep N.V.
AJAX,AFC Ajax N.V.
AKZO,Algemeene Kunstzijde Unie N.V. (AKZO)
ALANH,Alanheri N.V.
AMRO,AMRO Bank
ANIEM,Algemeene Nederlandsch-Indische Electriciteit-Maatschappij
ARTU,ARTU Biologicals N.V.
ASM,ASM International
ASML,ASM Lithography Holding N.V.
ATAG,Atag Holding N.V.
AUDET,N.V. Associatie van uitgevers van Dagbladen en tijdschriften ( A.U.D.E.T.)
AV,Antilliaanse Verffabriek
AVIM,N.V. Algemeene Vruchten Import Maatschappij
AXA,AXA Stenman Industries
Albert,H. Albert de Bary
BAAN,Baan Company
BALLAST,Ballast Nedam N.V.
BAM,N.V. Bataafsche Aanneming Maatschappij v/h Fa. J. van der Wal en Zoon
BATENB,N.V. Electro Technisch Installatiebedrijf & Handelsbureau P.Batenburg
BB,Beter Bed
BEEK,A.L. Van Beek N.V
BEERS,Beers' Zonen N.V.
BERGOSS,Koninklijke Tapijtfabrieken Bergoss N.V.
BESI,BE Semiconductor Industries N.V.
BFE,Blue Fox Enterprise N.V.
BLIJDE,Blijdenstein & Co N.V.
BMH,Bank Mees & Hope
BOER,De Boer Winkelbedrijven N.V.
BONT,Nederlandse Bontweverij N.V.
BORS,N.V. Borsumij Wehry
BOSKA,Bos Kalis Westminister Dredging group N.V.
BOUW,N.V. Bouwstoffen
BREDE,Brederos Bouwbedrijf N.V.
BRILL,Koninklijke Brill N.V.
BRUNEL,Brunel International N.V.
BUHR,Koninklijke Brill N.V.
CALVE,Fransch-Hollandsche Oliefabrieken (Nouveaux Etablissements Calve-Delft)
CARTON,N.V. Carton en Papierfabriek
CATE,Koninklijke Textielfabrieken Nijverdal-ten cate N.V.
CCBB,Cooperatieve Centrale Boerenleenbank
CCRB,Cooperatieve Centrale Raiffeisen-Bank
CDK,Crediet en Depositokas
CEB,Crediet en Effectenkas
CENTRIC,Centric KSI Holding N.V.
CFG,Chemische Fabriek L. van Grinten N.V.
CFN,Chemische Fabriek Naarden
CHAS,"Confectie Ateliers ""Chas Macintosh"" N.V."
CINDU,Cindu-Key & Kramer N.V.
CL,Credit Llyonnais Bank Nederland
CMG,CMG Plc.
CMN,N.V. Cultuur Maatschappij Ngombezi
CMT,Cultuur Maatschappij Transatlantica N.V.
CMWP,Cultuur Maatschappij Watoetoelis Poppoh
COMPUD,Compudata N.V.
CONTENT,CONTENT
COPACO,Copaco N.V.
CORUS,Corus Groep plc.
CROWN,N.V. Gemeenschappelijk Bezit Crown Van Gelder
CRUCELL,Crucell
CSM,N.V. Centrale Suiker Maatschappij
DELI,Deli-Maatschappij
DESS,Tapijtfabrieken H. Desseaux N.V.
DICO,N.V. Dico International
DOCDATA,DOCdata N.V.
DOH,N.V. Drentsch-Overijselsche Houthandel
